Attendance,StudyHours,PreviousSGPA,SkillDevelopmentHours,SocialMediaHours,EnglishProficiency,Scholarship,CoCurricular,HealthIssues,FamilyIncome,CreditsCompleted,CurrentSemester,CurrentCGPA,PerformanceCategory
95,1,8.75,1,1,Intermediate,Yes,Yes,No,30000,35,4,8.95,Good
90,4,8.45,2,1,Intermediate,Yes,Yes,No,40000,27,4,9.55,Excellent
90,2,6.7,1,1,Intermediate,No,No,No,30000,88,8,7.88,Average
88,9,6.7,1,1,Intermediate,No,No,No,62488,113,10,7.88,Average
100,3,6.7,3,2,Basic,Yes,Yes,No,35000,11,2,7.88,Average
80,1,6.7,2,10,Basic,Yes,No,No,100000,36,4,7.88,Average
80,3,6.7,3,3,Intermediate,Yes,No,No,30000,36,4,7.88,Average
92,2,4.72,1,3,Basic,No,Yes,No,20000,86,9,6.72,At Risk
90,7,9.25,1,3,Advance,Yes,Yes,No,62488,35,4,9.43,Excellent
95,4,6.7,2,2,Intermediate,Yes,Yes,No,30000,11,2,7.88,Average
95,5,6.7,2,3,Intermediate,Yes,No,No,20000,11,2,7.88,Average
70,2,0.0,4,2,Intermediate,Yes,No,Yes,30000,91,11,6.32,At Risk
99,3,6.7,2,2,Basic,No,No,Yes,20000,100,9,7.88,Average
50,2,5.5,5,4,Basic,No,Yes,No,60000,110,13,6.65,At Risk
100,1,6.5,4,4,Advance,Yes,No,Yes,62488,90,15,6.5,At Risk
95,3,6.75,0,3,Intermediate,No,No,Yes,150000,120,11,7.28,Average
90,2,7.18,2,1,Intermediate,No,Yes,No,30000,120,14,7.48,Average
95,4,6.7,4,1,Intermediate,No,No,No,25000,50,5,7.88,Average
70,2,6.7,4,4,Intermediate,No,Yes,No,200000,100,9,7.88,Average
85,1,6.7,1,1,Basic,No,No,Yes,50000,77,21,7.88,Average
99,3,6.7,3,1,Intermediate,No,No,No,40000,100,9,7.88,Average
70,1,6.75,1,1,Intermediate,No,Yes,Yes,15000,76,9,7.3,Average
73,2,6.7,2,1,Intermediate,No,No,No,75000,126,11,7.88,Average
100,2,6.7,2,1,Intermediate,No,No,Yes,40000,126,11,7.88,Average
70,3,7.45,2,1,Basic,No,No,Yes,20000,118,14,7.4,Average
75,1,6.7,2,2,Advance,No,No,No,40000,126,11,7.88,Average
80,5,6.7,2,7,Basic,Yes,Yes,Yes,62488,11,2,7.88,Average
88,6,6.7,4,2,Intermediate,No,No,No,62488,100,9,7.88,Average
99,3,8.8,7,2,Intermediate,No,No,No,15000,100,9,7.25,Average
100,4,8.7,2,3,Intermediate,Yes,Yes,No,20000,68,8,7.7,Average
90,2,6.7,3,3,Advance,Yes,Yes,No,63000,126,11,7.88,Average
80,1,6.7,3,3,Basic,Yes,No,No,50000,126,11,7.88,Average
90,2,6.7,2,5,Basic,No,No,No,40000,65,6,7.88,Average
2,6,7.9,4,2,Advance,No,Yes,No,60000,121,14,6.7,At Risk
87,2,4.8,1,1,Basic,No,No,No,60000,39,5,6.05,At Risk
80,2,6.7,4,2,Intermediate,No,No,Yes,30000,36,4,7.88,Average
50,5,6.7,2,6,Basic,No,No,No,7000,113,10,7.88,Average
99,8,6.7,4,4,Intermediate,No,No,No,20000,126,11,7.88,Average
99,3,6.7,1,1,Intermediate,No,No,No,20000,11,2,7.88,Average
70,1,6.7,1,5,Basic,No,No,No,20000,77,7,7.88,Average
100,7,6.7,3,1,Intermediate,Yes,Yes,No,30000,11,2,7.88,Average
75,2,6.7,3,1,Basic,No,No,No,35000,136,13,7.88,Average
100,6,6.7,2,6,Intermediate,Yes,No,No,62488,88,8,7.88,Average
100,2,6.7,2,1,Intermediate,No,No,No,60000,88,8,7.88,Average
88,4,6.7,3,2,Intermediate,No,No,No,60000,11,2,7.88,Average
80,2,6.7,2,2,Advance,Yes,Yes,No,50000,36,4,7.88,Average
80,2,6.7,2,3,Intermediate,No,Yes,Yes,30000,77,22,7.88,Average
90,5,8.22,2,3,Intermediate,No,No,No,28000,114,11,8.07,Average
100,3,6.7,3,3,Intermediate,No,Yes,No,60000,126,11,7.88,Average
100,2,6.7,3,1,Advance,No,No,No,90000,136,12,7.88,Average
80,3,6.7,4,3,Advance,No,No,No,200000,113,15,7.88,Average
100,4,6.7,1,1,Intermediate,No,Yes,No,50000,88,8,7.88,Average
80,3,5.0,3,5,Basic,No,No,Yes,4000,77,9,5.55,At Risk
90,3,6.7,1,3,Basic,Yes,No,No,40000,11,2,7.88,Average
80,5,8.25,2,3,Intermediate,No,No,Yes,80000,105,10,8.1,Average
90,3,6.7,3,2,Basic,No,No,Yes,35000,113,10,7.88,Average
90,1,7.52,6,12,Intermediate,No,No,No,65000,79,9,6.9,Average
97,4,6.7,4,2,Intermediate,No,No,No,20000,136,12,7.88,Average
95,3,8.0,2,3,Basic,No,No,No,40000,103,9,8.25,Good
80,3,6.7,2,2,Advance,No,Yes,No,100000,136,12,7.88,Average
90,4,6.7,2,6,Basic,Yes,No,No,50000,11,2,7.88,Average
90,1,6.7,1,1,Intermediate,Yes,No,No,20000,136,12,7.88,Average
90,3,6.7,2,4,Intermediate,Yes,Yes,No,30000,11,2,7.88,Average
40,3,6.0,2,4,Basic,No,Yes,No,60000,70,7,6.0,At Risk
90,4,6.7,1,2,Intermediate,No,Yes,No,50000,88,8,7.88,Average
90,4,5.4,2,2,Intermediate,Yes,Yes,No,40000,35,4,6.88,Average
90,8,6.7,2,3,Intermediate,Yes,No,No,40000,100,9,7.88,Average
5,5,6.7,2,2,Intermediate,Yes,Yes,No,12000,88,8,7.88,Average
97,5,0.0,4,2,Intermediate,No,No,No,50000,46,5,5.78,At Risk
80,2,4.38,3,3,Basic,No,No,Yes,50000,50,5,6.28,At Risk
90,4,6.7,2,4,Intermediate,No,No,No,10000,88,8,7.88,Average
90,2,6.7,0,4,Intermediate,No,No,No,50000,88,8,7.88,Average
92,3,6.7,3,0,Basic,Yes,No,No,100000,11,2,7.88,Average
100,6,6.7,1,2,Intermediate,No,Yes,Yes,30000,88,8,7.88,Average
88,2,6.7,3,4,Basic,Yes,No,No,40000,88,8,7.88,Average
95,1,6.7,1,6,Intermediate,Yes,Yes,No,50000,0,1,7.88,Average
98,3,6.5,2,2,Advance,No,No,No,500000,75,8,7.02,Average
90,7,8.32,9,1,Intermediate,Yes,No,No,40000,33,4,8.75,Good
90,3,10.0,2,2,Intermediate,No,Yes,No,40000,34,4,9.8,Excellent
100,6,8.12,3,2,Basic,Yes,Yes,No,30000,11,2,8.12,Good
100,1,8.65,2,1,Basic,Yes,Yes,No,40000,102,11,7.75,Average
85,1,9.32,1,2,Intermediate,Yes,No,No,20000,11,2,9.32,Good
100,3,5.0,5,1,Basic,No,No,No,25000,80,22,5.0,At Risk
80,2,9.45,2,5,Intermediate,Yes,Yes,No,20000,132,11,8.9,Good
100,6,8.55,2,1,Intermediate,Yes,Yes,No,50000,136,15,7.55,Average
95,4,8.75,1,5,Advance,No,No,Yes,15000,122,14,8.0,Average
90,2,8.15,2,3,Intermediate,Yes,Yes,No,22000,11,2,8.15,Good
70,2,9.75,1,2,Basic,Yes,No,No,25000,12,2,9.5,Excellent
95,2,9.25,1,5,Intermediate,Yes,No,No,50000,105,9,9.2,Good
100,3,9.55,2,3,Intermediate,No,No,No,30000,78,11,9.12,Good
99,5,9.62,2,5,Advance,Yes,Yes,No,100000,126,11,9.3,Good
95,2,7.75,3,3,Advance,No,Yes,No,20000,133,18,7.1,Average
90,2,6.68,0,6,Intermediate,Yes,No,No,35000,12,2,6.68,At Risk
80,3,9.55,1,1,Intermediate,No,No,No,30000,84,9,9.0,Good
100,4,9.3,2,2,Basic,Yes,Yes,No,40000,11,2,9.3,Good
90,2,8.77,1,2,Intermediate,No,No,No,40000,125,10,8.9,Good
90,8,8.7,5,4,Intermediate,No,No,Yes,40000,75,8,8.38,Good
90,3,6.62,1,20,Basic,No,No,No,50000,121,11,7.48,Average
100,6,9.3,5,2,Intermediate,No,Yes,No,62488,131,11,8.55,Good
85,3,4.9,1,3,Basic,Yes,No,No,62488,11,2,4.9,At Risk
95,2,8.45,2,1,Advance,Yes,Yes,No,50000,120,10,9.0,Good
80,7,7.0,2,2,Intermediate,No,Yes,No,18000,130,14,7.0,Average
100,5,8.4,2,4,Intermediate,No,No,Yes,40000,100,9,8.98,Good
85,2,8.32,1,4,Intermediate,No,No,No,62488,80,8,7.75,Average
90,1,5.28,2,2,Intermediate,No,Yes,Yes,80000,126,15,6.35,At Risk
52,1,7.08,1,6,Basic,No,No,Yes,20000,37,4,7.62,Average
88,3,5.5,2,4,Intermediate,Yes,Yes,No,62488,30,4,5.5,At Risk
98,6,8.0,3,6,Intermediate,No,Yes,No,50000,110,11,8.05,Average
70,4,7.02,2,1,Intermediate,No,Yes,No,12000,104,10,8.0,Average
100,5,8.7,5,2,Basic,No,Yes,No,20000,11,2,8.7,Good
90,5,10.0,5,6,Intermediate,Yes,No,Yes,50000,11,2,0.0,At Risk
100,2,10.0,4,6,Basic,Yes,No,No,62488,14,1,10.0,Excellent
90,4,9.25,1,6,Intermediate,Yes,No,No,50000,89,9,8.75,Good
100,3,0.0,0,6,Basic,Yes,Yes,No,25000,11,1,0.0,At Risk
90,4,9.2,3,5,Intermediate,Yes,No,No,25000,11,2,0.0,At Risk
95,5,8.25,2,2,Intermediate,Yes,No,No,50000,11,1,8.25,Good
88,4,9.62,6,2,Intermediate,No,Yes,No,62488,115,12,7.75,Average
90,2,10.0,5,3,Intermediate,Yes,No,No,50000,120,11,9.45,Excellent
97,4,7.45,2,1,Intermediate,No,Yes,No,20000,136,12,7.28,Average
100,5,9.1,4,15,Advance,Yes,Yes,No,34000,88,8,9.38,Excellent
95,6,8.9,2,1,Intermediate,Yes,No,No,10000,11,2,8.95,Good
65,1,4.2,1,2,Advance,No,No,No,30000,120,11,7.75,Average
80,3,6.35,2,5,Basic,No,No,No,40000,11,2,6.35,At Risk
95,7,9.75,1,1,Basic,No,No,No,50000,11,2,9.75,Excellent
90,6,9.6,1,3,Basic,Yes,No,No,60000,99,9,9.43,Excellent
70,1,9.2,6,1,Intermediate,Yes,Yes,Yes,16000,117,10,8.48,Good
95,2,7.85,2,2,Advance,Yes,No,No,40000,101,9,7.85,Average
95,4,9.22,1,4,Intermediate,No,No,No,30000,125,11,8.07,Average
95,3,6.82,6,1,Intermediate,No,No,No,25000,110,17,7.7,Average
80,2,8.7,4,1,Intermediate,No,No,No,62488,123,11,7.5,Average
75,5,6.52,2,12,Intermediate,Yes,Yes,No,40000,11,2,6.52,At Risk
100,7,0.0,2,2,Intermediate,No,Yes,No,70000,0,1,0.0,At Risk
88,1,7.0,1,2,Intermediate,No,Yes,No,50000,84,12,6.7,At Risk
90,1,3.8,2,1,Basic,No,No,No,36000,70,7,5.38,At Risk
85,2,7.8,3,3,Intermediate,No,Yes,No,30000,83,8,7.7,Average
90,5,9.2,3,1,Intermediate,No,No,No,20000,118,12,8.32,Good
85,4,5.62,1,1,Intermediate,Yes,No,No,20000,103,11,6.6,At Risk
90,1,8.75,1,1,Intermediate,Yes,No,No,100000,126,11,8.58,Good
100,6,0.0,3,1,Basic,Yes,No,No,50000,0,1,0.0,At Risk
90,2,8.4,2,1,Basic,Yes,No,No,20000,88,8,9.3,Good
99,1,9.57,2,4,Intermediate,Yes,No,No,35000,11,2,9.57,Excellent
90,4,4.95,4,1,Intermediate,No,No,No,25000,104,10,7.45,Average
98,3,8.43,2,2,Intermediate,No,No,Yes,62488,11,2,8.43,Good
88,3,7.88,1,3,Advance,Yes,Yes,No,62488,11,1,7.88,Average
88,5,0.0,2,3,Basic,Yes,No,No,30000,0,1,0.0,At Risk
100,1,0.0,2,1,Intermediate,Yes,Yes,No,150000,0,1,0.0,At Risk
98,4,0.0,2,3,Intermediate,Yes,Yes,No,50000,0,1,0.0,At Risk
90,3,6.98,2,3,Basic,No,No,No,30000,133,14,7.1,Average
95,5,8.8,1,2,Intermediate,Yes,Yes,No,62488,23,3,9.12,Good
90,1,9.62,1,2,Intermediate,Yes,No,No,35000,35,3,9.48,Excellent
70,4,7.52,2,5,Advance,Yes,Yes,Yes,90000,120,11,7.22,Average
90,3,7.95,3,2,Advance,Yes,No,No,80000,24,3,7.95,Average
100,5,9.3,3,5,Intermediate,Yes,Yes,No,60000,26,3,9.72,Excellent
70,3,7.0,3,10,Intermediate,Yes,No,Yes,500000,40,5,7.25,Average
90,2,8.55,1,3,Basic,Yes,No,No,50000,23,3,8.9,Good
85,3,6.22,2,3,Basic,Yes,No,No,40000,25,4,7.57,Average
95,2,6.7,1,3,Intermediate,No,No,No,100000,23,3,7.88,Average
90,3,9.65,1,2,Intermediate,Yes,No,Yes,20000,49,5,9.18,Good
100,3,0.0,1,1,Advance,Yes,No,No,30000,0,1,0.0,At Risk
90,6,9.55,3,2,Intermediate,Yes,Yes,No,50000,55,5,9.25,Good
75,2,8.95,1,2,Intermediate,Yes,No,No,40000,23,3,7.75,Average
98,5,6.42,2,2,Intermediate,No,No,No,30000,45,5,7.0,Average
95,5,9.65,3,2,Advance,Yes,Yes,Yes,40000,23,3,9.8,Excellent
80,3,10.0,1,3,Intermediate,No,Yes,No,40000,11,2,10.0,Excellent
80,1,0.0,0,7,Intermediate,Yes,Yes,No,60000,0,1,0.0,At Risk
90,1,7.75,1,2,Intermediate,No,Yes,No,40000,65,6,8.5,Good
100,6,0.0,3,4,Advance,No,Yes,No,40000,0,1,0.0,At Risk
95,1,9.2,2,1,Basic,Yes,No,Yes,45000,24,3,9.12,Good
2,7,8.5,0,3,Basic,Yes,No,No,40000,11,2,8.5,Good
100,8,0.0,1,2,Basic,Yes,Yes,No,10000,0,1,0.0,At Risk
70,3,6.12,3,2,Advance,Yes,No,Yes,50000,25,3,7.38,Average
80,2,6.0,1,3,Intermediate,No,No,No,62488,130,14,7.22,Average
99,4,8.68,3,1,Intermediate,Yes,Yes,No,50000,23,3,8.0,Average
87,2,6.32,1,1,Intermediate,No,No,No,37000,115,11,7.62,Average
50,1,6.4,1,3,Basic,Yes,Yes,Yes,45000,26,3,6.8,At Risk
100,4,0.0,1,3,Intermediate,No,Yes,No,100000,0,1,0.0,At Risk
80,2,5.9,1,1,Basic,No,Yes,No,35000,65,7,6.4,At Risk
100,2,0.0,1,1,Basic,No,Yes,No,400006,0,1,0.0,At Risk
100,1,0.0,0,2,Intermediate,Yes,Yes,No,70000,0,1,0.0,At Risk
100,4,6.7,2,2,Basic,Yes,No,No,20000,11,1,7.88,Average
90,2,7.98,1,1,Intermediate,Yes,No,No,40000,24,3,6.82,At Risk
88,2,5.28,1,1,Basic,No,No,Yes,30000,25,3,5.32,At Risk
98,6,7.75,2,2,Basic,No,No,No,60000,107,11,7.68,Average
95,4,8.2,2,5,Intermediate,Yes,Yes,No,70000,25,3,7.5,Average
100,1,7.88,0,2,Basic,Yes,No,No,35000,11,1,7.88,Average
90,5,9.0,1,3,Basic,Yes,Yes,No,10000,14,2,9.0,Good
90,3,9.38,2,1,Intermediate,Yes,No,No,50000,24,3,9.25,Good
90,1,9.62,2,3,Intermediate,No,Yes,No,40000,34,4,9.8,Excellent
90,3,6.7,2,2,Basic,Yes,No,No,100000,23,4,6.7,At Risk
99,3,7.95,3,1,Intermediate,Yes,No,No,62488,11,2,7.95,Average
90,2,8.48,2,1,Intermediate,Yes,No,No,5000,128,11,8.5,Good
100,4,7.45,2,4,Intermediate,No,No,Yes,60000,25,4,8.45,Good
97,9,9.25,5,3,Intermediate,No,No,No,50000,23,2,7.88,Average
80,1,8.12,2,2,Advance,No,No,No,40000,130,14,7.38,Average
85,2,7.57,1,3,Basic,No,No,No,30000,25,3,8.02,Average
95,2,7.75,1,3,Intermediate,No,No,No,50000,48,5,7.95,Average
98,2,9.25,1,3,Intermediate,Yes,No,No,120000,12,2,9.25,Good
70,9,10.0,4,6,Intermediate,Yes,Yes,No,30000,12,2,10.0,Excellent
85,1,7.95,1,2,Intermediate,Yes,Yes,No,62488,23,3,8.62,Good
100,2,9.02,2,3,Basic,Yes,No,No,40000,25,3,9.35,Good
70,2,7.52,1,0,Intermediate,Yes,No,No,70000,23,3,8.05,Average
80,2,8.15,2,5,Basic,No,No,Yes,40000,23,3,8.4,Good
100,1,9.0,2,2,Intermediate,Yes,Yes,No,300000,130,19,9.3,Good
100,2,7.8,3,5,Basic,No,No,Yes,50000,23,3,7.52,Average
100,4,9.83,2,2,Basic,Yes,Yes,No,50000,11,1,9.83,Excellent
95,5,7.5,1,6,Advance,Yes,Yes,No,150000,23,3,8.88,Good
70,1,4.03,1,3,Basic,No,Yes,No,25000,40,9,6.1,At Risk
80,1,6.98,1,3,Basic,Yes,No,No,40000,50,6,7.88,Average
98,2,9.57,2,3,Intermediate,No,No,No,40000,25,4,8.5,Good
100,3,8.95,3,2,Advance,Yes,No,No,62488,130,12,8.18,Good
100,3,8.48,2,4,Basic,Yes,No,No,70000,25,3,7.98,Average
100,3,8.45,2,2,Intermediate,Yes,No,No,25000,23,3,8.43,Good
100,3,7.57,2,1,Intermediate,Yes,No,Yes,30000,23,3,7.88,Average
100,3,0.0,1,1,Intermediate,No,Yes,No,40000,0,1,0.0,At Risk
95,1,9.12,1,1,Intermediate,Yes,Yes,No,40000,30,3,9.25,Good
80,3,7.95,1,2,Intermediate,No,No,Yes,30000,90,9,6.72,At Risk
100,3,9.45,2,2,Basic,Yes,Yes,No,30000,90,2,7.88,Average
70,1,6.4,3,4,Intermediate,Yes,Yes,No,30000,90,8,8.45,Good
90,2,7.35,0,12,Basic,Yes,No,Yes,45000,24,3,7.75,Average
77,3,5.9,3,4,Intermediate,No,No,No,80000,23,3,7.2,Average
100,3,9.5,2,5,Intermediate,Yes,No,No,30000,11,2,9.5,Excellent
80,0,3.82,0,15,Basic,Yes,No,No,30000,23,3,6.08,At Risk
80,2,7.5,3,5,Intermediate,No,No,No,35000,90,7,7.28,Average
80,2,5.8,1,5,Basic,No,Yes,No,40000,23,3,6.65,At Risk
90,6,0.0,1,4,Intermediate,Yes,No,Yes,62488,11,1,0.0,At Risk
50,3,8.43,0,12,Advance,Yes,Yes,Yes,62488,23,3,7.88,Average
100,2,7.22,1,3,Intermediate,Yes,Yes,Yes,50000,24,3,8.43,Good
90,2,7.92,2,2,Basic,Yes,No,No,40000,24,3,7.88,Average
100,2,5.65,1,5,Basic,Yes,No,Yes,35000,20,3,5.78,At Risk
99,5,9.12,1,2,Basic,Yes,No,No,35000,12,2,9.12,Good
96,2,7.57,1,1,Intermediate,Yes,No,No,49000,25,3,7.55,Average
80,2,9.83,0,4,Basic,Yes,No,Yes,15000,53,7,8.6,Good
80,4,7.5,2,2,Advance,No,Yes,No,2000000,105,9,7.72,Average
98,2,0.0,0,3,Basic,Yes,No,No,62488,0,1,0.0,At Risk
88,8,8.62,2,2,Basic,Yes,Yes,No,30000,11,2,8.62,Good
100,3,7.35,1,1,Basic,Yes,No,No,62488,23,3,7.57,Average
100,8,9.83,4,1,Intermediate,Yes,Yes,No,50000,25,3,9.88,Excellent
85,1,9.65,2,2,Intermediate,Yes,Yes,Yes,50000,24,3,9.6,Excellent
100,4,7.32,1,2,Intermediate,No,No,No,30000,26,3,7.1,Average
80,5,7.65,2,1,Intermediate,Yes,No,No,7000,36,4,7.7,Average
